ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Homonym,IndoAryan_Proto_Form,Inflection_Class,Main_Entry,Media_IDs,Morphemic_Form,Origin,Phonetic,Restrictions,Usage,Variant_Form,Vernacular
LX001429,phl,malgíri,n,,,,m-decl (Pl): -m,,,,"Pashto: mal-garaey, mal-gari",malɡíri,,"Can modify either male or female referents, and is assigned gender accordingly.",,ملگِریۡ
LX001430,phl,malgíri bhíi,v.intr:cjt.inc,LX001429,,,,,,,,malɡíri bhíi,,,,ملگِریۡ بھی
LX001431,phl,mána thíi,v.tr:cjt.inc,,,,,,,,"Urdu (Arabic): man, mana, manaa",mána tʰíi,,,,منع تھی
LX001432,phl,maní,mood,LX001433,,,,,,,,maní,,,,منیۡ
LX001433,phl,maníi,v.tr,,,mantráyatē 'speaks ; consults with ; advises' (T: 9837),"T (Prs): manáanu, (Pfv): maníitu, (Cv): maní, (Imp): maná",,,"man-é-, man-íit-",,maníi,,,,منی
LX001434,phl,maníitu,v.tr,,,,,LX001433,,,,maníito,,,,منِیتوۡ
LX001435,phl,mansubá,n.masc,,,,ee-decl (Obl): mansubeé,,,,Urdu (Persian/Arabic): mansuuba,mansubá,,,,منصوبہ
LX001436,phl,mangái,n.fem,,,,"a-decl (Obl, pl): mangée, mangéea",,,,,maŋɡéj,,,mangéi (Biori),منگئیۡ
LX001437,phl,maṇḍáu,n.masc,,,"maṇḍapa- 'open temporary shed, pavilion' (T: 9740)","i-decl (Obl, pl): maṇḍawí, maṇḍayí",,,,,maɳɖáw,,,,منڈووۡ
marg,phl,marg,n.masc,,,,"i-decl (Obl, pl): -í",,,,Urdu (Persian): marg,marɡ,,,,مرگ
LX001438,phl,mašín,n.fem,,,,"i-decl (Obl, pl): -í",,,,Urdu (English 'machine'),maɕín,,,,مشِن
LX001439,phl,mašwará,n.masc,,,,ee-decl (Pl): mašwareé,,,,Urdu (Persian/Arabic): mašwara,maɕwará,,,,مشورہ
LX001440,phl,maṣkíiraṇ,n.masc,,,,a-decl (Obl): -a,,,,,maʂkíiraɳ,,,,مݜکِیرݨ
LX001441,phl,matíi,v.tr,,,,"L:e (Prs): matáanu, (Pfv): matílu, (Cv): matí, (Imp): matá",,,mat-é-,,matíi,,,,متی
LX001442,phl,maṭaaí,n.fem,,,,m-decl (Pl): maṭaaíim,,,,Urdu: miṭhaaˈii,maʈaají,,,,مٹائیۡ
LX001443,phl,maṭróok,n.masc,,,*maṇṭrakka- ; *maṭrakka- 'frog (m)' (T: 9746),"a-decl (Obl, pl): -a",,,,,"maʈróok, maʈʂóok",,,,مٹروک
LX001444,phl,mauǰúd,adj.inv,,,,,,,,Urdu (Arabic): mauǰuud,"mawdʑúd, moodʑúd",,,,موجود
LX001445,phl,mauǰudá,adj.inv,LX001444,,,,,,,,mawdʑudá,,,,موجودہ
